SK_ID_CURR,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,REGION_POPULATION_RELATIVE,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_EMP_PHONE,FLAG_WORK_PHONE,FLAG_PHONE,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,HOUR_APPR_PROCESS_START,REG_CITY_NOT_LIVE_CITY,REG_CITY_NOT_WORK_CITY,LIVE_CITY_NOT_WORK_CITY,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,YEARS_BEGINEXPLUATATION_AVG,FLAG_DOCUMENT_3,FLAG_DOCUMENT_6,AGE,PHONE_CHANGE_YEARS,YEARS_EMPLOYED,CREDIT_PERCENT_INCOME,ANNUITY_CREDIT_PERCENT_INCOME,CREDIT_REFUND_TIME,DAYS_EMPLOYED_PERCENT,INCOME_PER_PERSON,FLAG_CG_ratio,DAYS_ID_4200,NAME_CONTRACT_TYPE_,NAME_CONTRACT_TYPE_Cash loans,NAME_CONTRACT_TYPE_Revolving loans,NAME_TYPE_SUITE_Children,NAME_TYPE_SUITE_Family,NAME_TYPE_SUITE_Group of people,NAME_TYPE_SUITE_Other_A,NAME_TYPE_SUITE_Other_B,"NAME_TYPE_SUITE_Spouse, partner",NAME_TYPE_SUITE_Unaccompanied,NAME_INCOME_TYPE_Businessman,NAME_INCOME_TYPE_Commercial associate,NAME_INCOME_TYPE_State servant,NAME_INCOME_TYPE_Student,NAME_INCOME_TYPE_Working,NAME_EDUCATION_TYPE_Academic degree,NAME_EDUCATION_TYPE_Higher education,NAME_EDUCATION_TYPE_Incomplete higher,NAME_EDUCATION_TYPE_Lower secondary,NAME_EDUCATION_TYPE_Secondary / secondary special,NAME_FAMILY_STATUS_Civil marriage,NAME_FAMILY_STATUS_Married,NAME_FAMILY_STATUS_Separated,NAME_FAMILY_STATUS_Single / not married,NAME_FAMILY_STATUS_Widow,NAME_HOUSING_TYPE_Co-op apartment,NAME_HOUSING_TYPE_House / apartment,NAME_HOUSING_TYPE_Municipal apartment,NAME_HOUSING_TYPE_Office apartment,NAME_HOUSING_TYPE_Rented apartment,NAME_HOUSING_TYPE_With parents,OCCUPATION_TYPE_Accountants,OCCUPATION_TYPE_Cleaning staff,OCCUPATION_TYPE_Cooking staff,OCCUPATION_TYPE_Core staff,OCCUPATION_TYPE_Drivers,OCCUPATION_TYPE_HR staff,OCCUPATION_TYPE_High skill tech staff,OCCUPATION_TYPE_IT staff,OCCUPATION_TYPE_Laborers,OCCUPATION_TYPE_Low-skill Laborers,OCCUPATION_TYPE_Managers,OCCUPATION_TYPE_Medicine staff,OCCUPATION_TYPE_Private service staff,OCCUPATION_TYPE_Realty agents,OCCUPATION_TYPE_Sales staff,OCCUPATION_TYPE_Secretaries,OCCUPATION_TYPE_Security staff,OCCUPATION_TYPE_Waiters/barmen staff,WEEKDAY_APPR_PROCESS_START_FRIDAY,WEEKDAY_APPR_PROCESS_START_MONDAY,WEEKDAY_APPR_PROCESS_START_SATURDAY,WEEKDAY_APPR_PROCESS_START_SUNDAY,WEEKDAY_APPR_PROCESS_START_THURSDAY,WEEKDAY_APPR_PROCESS_START_TUESDAY,WEEKDAY_APPR_PROCESS_START_WEDNESDAY,TARGET
100002,0,0,0,0,202500.0,406597.5,24700.5,351000.0,0.018801,-3648.0,-2120,9.0,1,0,1,2,2,10,0,0,0,0.0830369673913225,0.2629485927471776,0.1393757800997895,0.9722,1,0,26.0,3.0,2.0,2.007888888888889,0.1219777777777777,16.46110402623429,0.0673290349857309,202500.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
100003,1,0,1,0,270000.0,1293502.5,35698.5,1129500.0,0.0035409999999999,-1186.0,-291,9.0,1,0,1,1,1,11,0,0,0,0.3112673113812225,0.6222457752555098,0.5226973172821112,0.9851,1,0,46.0,2.0,3.0,4.79075,0.1322166666666666,36.23408546577587,0.0708619147032508,135000.0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
100004,0,1,0,0,67500.0,135000.0,6750.0,135000.0,0.010032,-4260.0,-2531,26.0,1,1,1,2,2,9,0,0,0,0.4809044024296791,0.5559120833904428,0.7295666907060153,0.9816,0,0,52.0,2.0,1.0,2.0,0.1,20.0,0.0118135041478525,67500.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
100006,1,0,0,0,135000.0,312682.5,29686.5,297000.0,0.008019,-9833.0,-2437,9.0,1,0,0,2,2,17,0,0,0,0.4809044024296791,0.6504416904014653,0.5226973172821112,0.9816,1,0,52.0,2.0,8.0,2.3161666666666667,0.2199,10.532817947551916,0.1599052880820836,67500.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
100007,0,0,0,0,121500.0,513000.0,21865.5,513000.0,0.028663,-4311.0,-3458,9.0,1,0,0,2,2,11,0,1,1,0.4809044024296791,0.3227382869704046,0.5226973172821112,0.9816,0,0,55.0,3.0,8.0,4.222222222222222,0.1799629629629629,23.46161761679358,0.1524182219546458,121500.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
100008,0,0,0,0,99000.0,490495.5,27517.5,454500.0,0.035792,-4970.0,-477,9.0,1,1,1,2,2,16,0,0,0,0.4809044024296791,0.3542247319929012,0.6212263380626669,0.9816,1,0,46.0,7.0,4.0,4.9545,0.2779545454545454,17.824856909239575,0.0937370875391063,49500.0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
100009,1,1,0,1,171000.0,1560726.0,41301.0,1395000.0,0.035792,-1213.0,-619,17.0,1,0,1,2,2,16,0,0,0,0.7747614130547695,0.7239998516953141,0.4920600938649263,0.9816,0,0,38.0,4.0,9.0,9.127052631578948,0.2415263157894736,37.78906079755938,0.2271737552620119,57000.0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
100010,0,1,0,0,360000.0,1530000.0,42075.0,1530000.0,0.0031219999999999,-4597.0,-2379,8.0,1,1,0,3,3,16,0,1,1,0.4809044024296791,0.7142792864482229,0.5406544504453575,0.9816,1,0,52.0,3.0,1.0,4.25,0.116875,36.36363636363637,0.0238196286472148,180000.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
100012,0,0,0,0,135000.0,405000.0,20250.0,405000.0,0.0196889999999999,-14437.0,-3992,9.0,1,0,0,2,2,8,0,0,0,0.4809044024296791,0.7466436294590924,0.5226973172821112,0.9816,0,0,40.0,5.0,6.0,3.0,0.15,20.0,0.1395397055774414,135000.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
100014,1,0,0,1,112500.0,652500.0,21177.0,652500.0,0.0228,-4427.0,-738,9.0,1,0,0,2,2,15,0,0,0,0.3197601716755032,0.6518623334244781,0.363945238612397,0.9816,1,0,28.0,2.0,2.0,5.8,0.18824,30.81172970675733,0.0665882122192801,37500.0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
